item_id,version_no,sort_order,category_key,validity_start,validity_end
W45000556,1,,Geog/BuiltUp,01/01/1990,
W45000557,1,,Geog/BuiltUp,01/01/1990,
W45000558,1,,Geog/BuiltUp,01/01/1990,
W45000559,1,,Geog/BuiltUp,01/01/1990,
W45000560,1,,Geog/BuiltUp,01/01/1990,
W45000561,1,,Geog/BuiltUp,01/01/1990,
W45000562,1,,Geog/BuiltUp,01/01/1990,
W45000563,1,,Geog/BuiltUp,01/01/1990,
W45000564,1,,Geog/BuiltUp,01/01/1990,
W45000565,1,,Geog/BuiltUp,01/01/1990,
W45000566,1,,Geog/BuiltUp,01/01/1990,
W45000567,1,,Geog/BuiltUp,01/01/1990,
W45000568,1,,Geog/BuiltUp,01/01/1990,
W45000569,1,,Geog/BuiltUp,01/01/1990,
W45000570,1,,Geog/BuiltUp,01/01/1990,
W45000571,1,,Geog/BuiltUp,01/01/1990,
W45000572,1,,Geog/BuiltUp,01/01/1990,
W45000573,1,,Geog/BuiltUp,01/01/1990,
W45000574,1,,Geog/BuiltUp,01/01/1990,
W45000575,1,,Geog/BuiltUp,01/01/1990,
W45000576,1,,Geog/BuiltUp,01/01/1990,
W45000577,1,,Geog/BuiltUp,01/01/1990,
W45000578,1,,Geog/BuiltUp,01/01/1990,
W45000579,1,,Geog/BuiltUp,01/01/1990,
W45000580,1,,Geog/BuiltUp,01/01/1990,
W45000581,1,,Geog/BuiltUp,01/01/1990,
W45000582,1,,Geog/BuiltUp,01/01/1990,
W45000583,1,,Geog/BuiltUp,01/01/1990,
W45000584,1,,Geog/BuiltUp,01/01/1990,
W45000585,1,,Geog/BuiltUp,01/01/1990,
W45000586,1,,Geog/BuiltUp,01/01/1990,
W45000587,1,,Geog/BuiltUp,01/01/1990,
W45000588,1,,Geog/BuiltUp,01/01/1990,
W45000589,1,,Geog/BuiltUp,01/01/1990,
W45000590,1,,Geog/BuiltUp,01/01/1990,
W45000591,1,,Geog/BuiltUp,01/01/1990,
W45000592,1,,Geog/BuiltUp,01/01/1990,
W45000593,1,,Geog/BuiltUp,01/01/1990,
W45000594,1,,Geog/BuiltUp,01/01/1990,
W45000595,1,,Geog/BuiltUp,01/01/1990,
W45000596,1,,Geog/BuiltUp,01/01/1990,
W45000597,1,,Geog/BuiltUp,01/01/1990,
W45000598,1,,Geog/BuiltUp,01/01/1990,
W45000599,1,,Geog/BuiltUp,01/01/1990,
